Country,Management,Location,Plot,Replication,BLK,Pedigree,Entry,YLD,AD,ASI,rEPP,nP,EA
Ethiopia,Optimal,Bako,19,1,4,ECAVL16/ECAVL16-STR,12,4.851098413,76,3,1.3125,16,3
Ethiopia,Optimal,Bako,20,1,4,ECAVL2/ECAVL16-STR,8,5.533988571,83,3,1.294117647,17,3
Ethiopia,Optimal,Bako,21,1,5,ECAVL1/ECAVL17,4,6.392685714,83,3,1.117647059,17,2.5
Ethiopia,Optimal,Bako,22,1,5,ECAVL1/ECAVL18,5,7.469348571,74,2,1.588235294,17,2.5
Ethiopia,Optimal,Bako,23,1,5,ECAVL1/ECAVL2,1,5.394285714,76,3,1.235294118,17,3
Ethiopia,Optimal,Bako,24,1,5,ECAVL1/ECAVL16,2,6.942902857,79,2,1.3125,16,2.5
Ethiopia,Optimal,Bako,25,1,5,ECAVL17-#,26,5.538864762,83,0,1.235294118,17,3
Ethiopia,Optimal,Bako,26,1,6,ECAVL18-#,27,5.5936,79,2,1.4,15,3
Ethiopia,Optimal,Bako,27,1,6,ECAVL2/ECAVL17,9,7.938438095,79,0,1.5625,16,2.5
Ethiopia,Optimal,Bako,28,1,6,ECAVL16-STR-#,25,7.811088254,79,2,1.705882353,17,2.5
Ethiopia,Optimal,Bako,29,1,6,ECAVL18/NIP25,21,5.895253333,76,5,1.470588235,17,2.5
Ethiopia,Optimal,Bako,30,1,6,ECAVL2/NIP25,11,7.91527619,72,2,1.470588235,17,2.5
Ethiopia,Optimal,Bako,31,2,7,CML202/CML395/CML312-RE,29,3.380033016,83,0,1,10,3
Ethiopia,Optimal,Bako,32,2,7,ECAVL16-STR/ECAVL17,16,7.400187937,79,0,1.705882353,17,3
Ethiopia,Optimal,Bako,33,2,7,ECAVL2/ECAVL17,9,6.902430476,86,0,1.4375,16,3
Ethiopia,Optimal,Bako,34,2,7,ECAVL1/ECAVL17,4,6.742755556,81,2,1.294117647,17,2.5
Ethiopia,Optimal,Bako,35,2,7,ECAVL16/ECAVL18,14,7.571911111,76,3,1.625,16,2.5
Ethiopia,Optimal,Bako,36,2,8,ECAVL2/NIP25,11,7.188926984,79,0,1.470588235,17,3
Ethiopia,Optimal,Bako,37,2,8,ECAVL2-#,23,7.166537143,79,2,1.6875,16,3
Ethiopia,Optimal,Bako,38,2,8,ECAVL1/NIP25,6,6.165333333,81,2,1.25,16,3
Ethiopia,Optimal,Bako,39,2,8,ECAVL2/ECAVL16-STR,8,9.751324444,81,2,1.882352941,17,3
Ethiopia,Optimal,Bako,40,2,8,PHB3253,30,8.68352,81,2,1.2,15,1.5
Ethiopia,Optimal,Bako,41,2,9,ECAVL2/ECAVL16,7,6.479685079,76,3,1.5625,16,2.5
Ethiopia,Optimal,Bako,42,2,9,ECAVL1/ECAVL16-STR,3,7.440274286,76,3,1.529411765,17,3
Ethiopia,Optimal,Bako,43,2,9,ECAVL18/NIP25,21,7.278201905,76,0,1.733333333,15,2.5
Ethiopia,Optimal,Bako,44,2,9,NIP25-#,28,5.387804444,72,2,1.25,16,3
Ethiopia,Optimal,Bako,45,2,9,ECAVL1/ECAVL2,1,6.272812698,83,3,1.176470588,17,2.5
Ethiopia,Optimal,Bako,46,2,10,ECAVL2/ECAVL18,10,9.659977143,79,2,1.705882353,17,2.5
Ethiopia,Optimal,Bako,47,2,10,ECAVL16/ECAVL17,13,8.03088254,76,3,1.411764706,17,2.5
Ethiopia,Optimal,Bako,48,2,10,ECAVL16/NIP25,15,6.642468571,76,3,1.411764706,17,3
Ethiopia,Optimal,Bako,49,2,10,ECAVL1/ECAVL16,2,6.643809524,76,3,1.4375,16,2.5
Ethiopia,Optimal,Bako,50,2,10,ECAVL16/ECAVL16-STR,12,5.39288381,83,3,1.4,15,2.5
Ethiopia,Optimal,Bako,51,2,11,ECAVL16-STR-#,25,5.955555556,83,0,1.375,16,3
Ethiopia,Optimal,Bako,52,2,11,ECAVL17/NIP25,20,6.72,81,0,1.235294118,17,2.5
Ethiopia,Optimal,Bako,53,2,11,ECAVL16-STR/NIP25,18,5.853460317,81,0,1.3125,16,3
Ethiopia,Optimal,Bako,54,2,11,ECAVL16-STR/ECAVL18,17,6.545310476,79,0,1.375,16,3
Ethiopia,Optimal,Bako,55,2,11,ECAVL17-#,26,5.125851429,79,4,1.176470588,17,3
Ethiopia,Optimal,Bako,56,2,12,ECAVL17/ECAVL18,19,7.599299048,81,0,1.4375,16,2.5
Ethiopia,Optimal,Bako,57,2,12,ECAVL1-#,22,6.290285714,86,0,1.5,16,3
Ethiopia,Optimal,Bako,58,2,12,ECAVL1/ECAVL18,5,7.285028571,81,2,1.470588235,17,2.5
Ethiopia,Optimal,Bako,59,2,12,ECAVL18-#,27,6.037028571,81,2,1.470588235,17,3
Ethiopia,Optimal,Bako,60,2,12,ECAVL16-#,24,5.20192,74,3,1.4375,16,3
Ethiopia,Optimal,Bako,61,3,13,ECAVL17-#,26,4.652434286,81,2,1.1875,16,3
