Country,Location,CrossName,Genotype,Rep,YLD,TGW,Heading,Height
ARGENTINA,Buenos Aires,ROLF07*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,42,1,1.35,24.8,55,68.8
ARGENTINA,Buenos Aires,ROLF07*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,42,2,3.78,40.7,55,72
ARGENTINA,Buenos Aires,SAUAL/4/CROC_1/AE.SQUARROSA (205)//KAUZ/3/ATTILA/5/SAUAL,43,1,2.21,40.7,57,64.3
ARGENTINA,Buenos Aires,SAUAL/4/CROC_1/AE.SQUARROSA (205)//KAUZ/3/ATTILA/5/SAUAL,43,2,2.21,40.7,55,58.3
ARGENTINA,Buenos Aires,SAUAL/WHEAR//SAUAL,44,1,1.6,41.1,56,64.8
ARGENTINA,Buenos Aires,SAUAL/WHEAR//SAUAL,44,2,3.48,41.8,58,79.5
ARGENTINA,Buenos Aires,SERI M 82,45,1,3.48,41.8,55,59.3
ARGENTINA,Buenos Aires,SERI M 82,45,2,2.17,40.1,57,70
ARGENTINA,Buenos Aires,SIETE CERROS T66,46,1,1.39,30.8,56,60
ARGENTINA,Buenos Aires,SIETE CERROS T66,46,2,2.27,33.5,54,71.5
ARGENTINA,Buenos Aires,SOKOLL*2/3/BABAX/LR42//BABAX,47,1,0.96,28,56,63.3
ARGENTINA,Buenos Aires,SOKOLL*2/3/BABAX/LR42//BABAX,47,2,1.24,30,57,65.3
ARGENTINA,Buenos Aires,SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR,48,1,1.24,31.8,54,63.8
ARGENTINA,Buenos Aires,SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR,48,2,3.4,36.4,56,73
ARGENTINA,Buenos Aires,TACUPETO F2001/BRAMBLING*2//KACHU,49,1,1.35,35.7,56,62.8
ARGENTINA,Buenos Aires,TACUPETO F2001/BRAMBLING*2//KACHU,49,2,2.36,43.6,58,72.3
ARGENTINA,Buenos Aires,TACUPETO F2001/SAUAL/4/BABAX/LR42//BABAX*2/3/KURUKU,50,1,0.85,25.4,56,58
ARGENTINA,Buenos Aires,TACUPETO F2001/SAUAL/4/BABAX/LR42//BABAX*2/3/KURUKU,50,2,2.27,36.2,56,74.8
ARGENTINA,Buenos Aires,TC870344/GUI//TEMPORALERA M 87/AGR/3/2*WBLL1,51,1,2.06,39.3,56,66.8
ARGENTINA,Buenos Aires,TC870344/GUI//TEMPORALERA M 87/AGR/3/2*WBLL1,51,2,1.69,42.4,58,76.3
ARGENTINA,Buenos Aires,TRAP#1/BOW/3/VEE/PJN//2*TUI/4/BAV92/RAYON/5/KACHU #1,52,1,0.75,32.6,56,56.3
ARGENTINA,Buenos Aires,TRAP#1/BOW/3/VEE/PJN//2*TUI/4/BAV92/RAYON/5/KACHU #1,52,2,2.9,28.6,57,75.3
ARGENTINA,Buenos Aires,TRCH/SRTU//KACHU,53,1,0.91,28.6,55,55.5
ARGENTINA,Buenos Aires,TRCH/SRTU//KACHU,53,2,1.04,29,56,60.5
ARGENTINA,Buenos Aires,UP2338*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/MILAN/KAUZ//CHIL/CHUM18/6/UP2338*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ,54,1,3.67,33.8,55,48
